Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Norway,Measles,"per 1,000,000 total population",0.7,3.3,2.2,0.2,0,2.7,0.6,1.6,0.8,7.9,0.6,0.4,0.8,,0,0,1.5,1.8,1.1,0.9,0,,,2.5,5.2,4.1,1.4,1.6,17,4,22.4,3.1,31.6,134.5,292.4,315.9,428.9,"1,498.6","2,669","1,118.8",323.5
"occupied Palestinian territory, including east Jerusalem",Measles,"per 1,000,000 total population",196.2,45.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,Measles,"per 1,000,000 total population",,0,0,1.9,24.8,0,,0,3.7,1.5,1,6.6,6.5,9,5,10,7.4,0.4,2.1,6.5,6.6,4,2.2,5.3,20.6,30.8,84.2,"1,499.9",924.7,116.2,696.4,"2,443.8","3,606.4","2,348.3","1,281.7","2,776.9","6,744.6","6,723.3","12,902","33,327.5","9,208.4"
Pakistan,Measles,"per 1,000,000 total population",12.4,9.5,155.5,44.1,13.3,1.9,7,45.7,43,23.9,24.1,4.9,6.6,16.7,46.6,18.6,27.1,31,26.1,26.4,14.5,21.2,17.3,14.1,8.6,13.9,11.8,16.8,26,5.6,202.4,22.5,547.8,468,444.3,289.5,194.2,243.4,238.4,359.6,366.1
Palau,Measles,"per 1,000,000 total population",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,54.3,0,0,0,0,"5,710.8",0,0,0,68,0,0,0,0,0,0,0,0,0
Panama,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.1,34.2,328,963.1,765.3,124.4,159.6,813.1,"1,851","1,935.4",165,280.4,"1,935.6","2,138.2","1,059.4"
Papua New Guinea,Measles,"per 1,000,000 total population",0.4,0.1,2.2,0.8,0,4.7,289.3,1.5,0,0,0,0,0,0,0.2,188.1,218,620.7,"2,889.2",673.3,"1,220.2","1,102.8",205.7,124.5,435.2,719.1,"1,346.5","1,659.3","1,371.7",579.8,991.2,"2,174.2","1,487.3","2,377.6","4,544.1","1,391.8","2,483.4","2,588.9","3,388.9","4,503.4","3,395.2"
Paraguay,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,28.6,2.7,15.3,26.1,453.5,194.4,121.4,330.5,93.9,188.7,447.6,161.2,181.2,274.1,363,157.6,130.8,234.2
Peru,Measles,"per 1,000,000 total population",0,0.1,1.3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,3.8,4.2,14.5,28.1,73.9,984.2,45,33.4,53,273.5,301.6,301.5,475,674.9,403.7,689.7,560,"1,096.8"
Philippines,Measles,"per 1,000,000 total population",35,448.8,195.3,23.1,6.9,6.1,585.5,29.5,15.8,68.4,67.8,15.9,3.8,5.9,0.1,1.4,35.7,126.6,86.1,92.4,91.3,39.1,26.6,126.2,,56.1,44.1,113.2,604.5,457.6,693.7,"1,143.3","1,204.2","1,430.2","1,064.9","1,160","1,425.2",849.7,719.4,555.4,565.2
Poland,Measles,"per 1,000,000 total population",0.8,36.1,9.5,1.7,3.2,,,2.2,1.9,,0.3,3,,1,3.1,0.3,0.3,1.2,0.9,3.5,2,2.6,58.5,8.8,16.6,19.6,22.5,36.8,96.7,63.5,"1,487.6",191,26.7,34.3,182.2,960.8,"1,475.8",308.3,210.4,983.4,700.1
Portugal,Measles,"per 1,000,000 total population",,1,15.8,3.3,3.3,0,,0.1,2.2,0.2,0.5,0.3,0.1,0,0,0.7,0.5,0.8,0.8,,4.4,4.9,9.4,12.7,11.1,19,321.6,88.1,20.9,27.7,41.1,"1,192.1",230.8,82,,,,,,,
Qatar,Measles,"per 1,000,000 total population",1,1.8,0.7,3.3,11.3,7,18.7,31.2,72.9,49.6,158.9,67.7,,296.3,140.8,85.5,38.5,35.2,53.1,37.4,77.6,,210.3,820.1,72.7,0,61.1,171.5,137.3,"1,155.2",659.3,"2,345.7",861.1,968.9,"5,267.3","3,801.7","2,596.2","2,638.2","1,825.2","6,004.3","1,752.9"
Republic of Korea,Measles,"per 1,000,000 total population",,3.8,0.3,0.1,0.4,0.1,8.7,2.1,0,0.8,2.3,0.3,0,4,0.6,0.1,0.2,0.7,1.3,483.4,689.1,,0.1,0,1.6,1.6,175.9,,,,79.6,56.3,37.5,45.1,44.1,31.4,55.7,17.5,173,59.8,134
Republic of Moldova,Measles,"per 1,000,000 total population",,22.3,83.9,0,0,0,0.5,6.6,2.7,0,0,0,0,2.4,8.2,1.4,1,20.8,"1,179.7",109.1,163.5,58,158.2,84.9,79.7,270.5,906.4,198.1,73.6,141.9,742.6,,,,,,,,,,
Romania,Measles,"per 1,000,000 total population",52.2,201.4,328.5,461.8,123,0.2,2.9,57.6,368.3,206,9.4,0.4,0.6,16.8,150.5,235.5,5.4,0.4,0.6,0.5,1.6,10.8,424.9,"1,041.6",39.7,95.3,269.4,"1,217.7",259.3,75.6,199.7,164.9,77.4,508.1,"1,468.7",217,91.7,206.2,"2,701.7",949.3,463.2
Russian Federation,Measles,"per 1,000,000 total population",8.3,30.8,17.4,5,1.2,5.8,32.6,16.2,14.7,4.4,0.9,0.7,0.2,1.2,8,3.2,17,22.8,4,14.2,32.8,50.6,42.2,19.5,48.1,44.7,193.3,501.9,125.2,138.2,124.5,,,,,,,,,,
Rwanda,Measles,"per 1,000,000 total population",8.3,64.8,18.6,12.1,8.1,0.1,0.9,1.6,7.1,3,12.1,0.5,0.6,2.8,54.6,14.6,44.5,124.3,324.9,108.9,264.1,581.1,,122.6,663.2,"4,947.1","1,010.6","1,574.3","2,600.5",821.6,"1,230.6",746.1,615.7,"1,827","6,634.2","2,726.6","2,925.5","3,514.5","6,683.6","14,895.9","15,602"
Saint Kitts and Nevis,Measles,"per 1,000,000 total population",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,"1,987.1",297.4,295.3,511.7,530.4,644.8,47.4,"13,089.4","3,229.4","1,210.3","7,060"
Saint Lucia,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,14.3,217.4,73.6,30,30.6,249.1,71.3,104.6,579.3,"16,852.9","1,122",297.1
Saint Vincent and the Grenadines,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,9.3,93.9,9.4,19,47.8,144.5,611.5,"7,403",187.3,"2,555.5"
Samoa,Measles,"per 1,000,000 total population",55.4,"28,853.8",0,15.4,,,,,5.3,0,43,0,,,0,0,0,0,,,,,46.3,0,508.3,0,0,41.9,24.2,0,0,6.2,0,0,6.2,"6,844.2",0,44.2,177.9,460.3,"2,417.6"
San Marino,Measles,"per 1,000,000 total population",0,354.4,0,0,0,,,,31.1,0,0,0,,0,0,0,0,105,,,36.4,0,,828.2,,,,238,281.9,40.9,41.5,,,,,,,,,,
Sao Tome and Principe,Measles,"per 1,000,000 total population",,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,174.7,"2,464.7",692.6,0,0,83.9,,"1,041.6",0,642.3,590.9,"5,601.5","2,137.2",30.2,"1,984.2","5,417.9"
Saudi Arabia,Measles,"per 1,000,000 total population",1,30.2,34.5,13.9,3.9,6.9,5,38.7,10.1,12.8,12.2,3.1,6.1,184.6,32.9,15.7,81.3,53.8,14.3,7.3,,139.4,279,205,126.5,138.1,68.8,179.1,653.8,379.7,335,229,545.8,"2,022.8","1,655","1,402","2,452.5","3,814.4","3,029.8","3,470.8","4,758.3"
Senegal,Measles,"per 1,000,000 total population",12.7,16.4,0.8,0.7,10.8,4,2.3,1.2,3.4,1.4,33.8,81,0.5,0.9,0.3,0,2.9,144.1,"1,768.2","2,470",596,383.3,705.4,722.2,905.3,,702.5,"1,786","1,923.3","1,473.4",664.9,"1,497.9",225.2,502.2,"1,024",,,"4,348.6","5,479.1","6,012.8","5,220"
Serbia,Measles,"per 1,000,000 total population",,2.5,576.6,81.7,1.2,43.1,4.2,0.1,0,41.3,2.2,0.1,0.2,22.1,0.2,0.2,1.2,1.6,6.7,3.7,4,30.1,95.2,479.5,46.5,53,81.1,"1,712.8",217.3,103.2,523,"1,708.7",705.4,923.7,"1,520.3","2,736.8","2,200.9","1,420.6","1,526.4","2,323.8","4,202.9"
Seychelles,Measles,"per 1,000,000 total population",274.5,0,,0,0,0,0,0,0,0,0,0,0,11.1,111.7,0,0,0,0,0,,25,"7,917.6",38.3,25.8,0,0,0,0,84,184.2,71.3,0,28.6,57.2,143.3,273.8,"3,878.3","5,093.8",59.5,45.3
Sierra Leone,Measles,"per 1,000,000 total population",2.1,5.1,45,250.1,125.5,84.6,143.4,2.2,101,284.2,169.7,4.9,7.2,0,5.7,5.1,1.3,112.7,114.4,136.5,779.8,,,83.3,,79.9,26.5,528.5,210.2,65.3,192.1,146.9,49.8,247.6,41.9,880.6,"1,083.2","1,195.4","1,158.7",983.8,"1,069.8"
Singapore,Measles,"per 1,000,000 total population",,26.2,6.6,12.3,,,,25.3,7.8,28.1,9.7,3.2,3.8,3.3,5.2,7.7,23,8,51.4,100.1,35,16.4,29.5,376.6,,52.5,46.5,0,189.4,69.7,47.5,49.7,66.8,43.7,78.9,50.3,914,262.3,780.4,313.4,
Slovakia,Measles,"per 1,000,000 total population",0,58.3,103.6,1.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,98.2,115,0,0.4,5.4,103,77.9,39.7,8.9,,,,,,,,,,
Slovenia,Measles,"per 1,000,000 total population",2.9,24.5,4.3,3.9,0.5,8.7,25.2,0.5,1,10.7,1,0,0,0,0,0,0,0,0,0,,0.5,6.5,4.5,4,199.9,67.2,3.5,5,15.9,,,,,,,,,,,
Solomon Islands,Measles,"per 1,000,000 total population",,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"1,832.3","4,497.7",260.6,140.3,"1,099.8","45,434.5","2,010.4","1,512.9",0,7.4,906,"3,625.9","13,516.1","8,824.4","1,474.8"
Somalia,Measles,"per 1,000,000 total population",159.3,18.3,608.1,"1,579.2",1.8,543.4,762,242.9,785.1,"1,397.7",9.5,1.1,94.8,103.7,0.7,,"1,185.4",841.2,"1,006.1",388.7,446.9,645.7,373.4,,238.2,,,,,,,138.5,42.3,32.4,10.4,19.3,73.6,94,,,
South Africa,Measles,"per 1,000,000 total population",0.7,1,1.2,3.7,0.3,0.3,1.2,0.5,0.6,1.8,244,116,0.8,0.6,1.7,12.8,17.6,5.2,22.6,25.6,32.4,8.7,22.4,31.1,153.9,213.5,168.7,324.7,588.1,126.6,288.7,508.4,434.7,657.7,401.8,547.3,507.5,539.9,428.1,538.9,672.1
South Sudan,Measles,"per 1,000,000 total population",115.2,307.4,24,44.6,82.9,81.9,41.8,50.7,193,127.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Measles,"per 1,000,000 total population",1.9,6.2,4.8,3.5,0.8,2.5,3.3,2.8,25.6,80.7,6.4,0.9,6.4,5.9,8.1,0.5,0.6,6,1.6,,3.7,6.1,11.1,46,124.4,222.4,171.4,303.2,620.6,622,552.3,841.2,581.5,902.2,"5,664.8","2,082.5","1,008.5","7,923","4,176","3,863.1","3,854.9"
Sri Lanka,Measles,"per 1,000,000 total population",0.1,2.3,0,0,5.3,75,81.1,102,2.5,2.9,3.9,1,1.7,2.2,0,0.2,1.8,3.4,7.3,16.3,880.1,129.5,9.5,10.6,8.6,22.4,31.3,31.1,39.5,108.1,231.1,45.6,155.8,210.8,380,581,828.6,519.6,856.3,408,334.7
Sudan,Measles,"per 1,000,000 total population",9.1,83,119.1,16.3,44.3,92.2,17.8,75.9,235.5,158.9,19.7,2,3.9,10.1,7.2,44.4,316.5,148.7,157.8,155.9,105.4,125.7,21.1,13.8,103.3,34.9,41.3,30.3,784.3,"1,436.7",698.6,776,395.7,89.3,"1,528.1","3,927.3",143.5,174.2,"4,380.6","4,312.4","3,458.1"
Suriname,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,0,174.9,13.1,98.9,298.4,109.7,46.9,"1,792.6","1,988.1",706.5
Sweden,Measles,"per 1,000,000 total population",0.5,2,4.3,4.1,0.3,2.3,2.7,5.3,3.1,2.7,0.6,0.3,2.7,0.1,2.1,1.4,0.6,0.3,1,0.6,6.6,,,7,5,2.6,2.4,2.9,6.6,2.9,3.4,7.3,4.5,,20.6,39,120.3,555.2,747.1,425.2,214.8
Switzerland,Measles,"per 1,000,000 total population",4.3,,5.9,12.4,7.8,4.2,2.8,21.6,7.6,78.5,9.9,124.2,265.3,134.7,,8.1,5.3,79,,97.5,,112.4,282,905.4,284.2,200.1,201.8,436.7,633,401.9,299.1,409.3,"1,160.2","1,136.6",,,,,,,
Syrian Arab Republic,Measles,"per 1,000,000 total population",0.9,1.6,19.4,43.1,3.8,2.5,31.7,37.8,0.6,0.6,1.2,1,0.9,20.3,27.1,20.4,10.6,46,31.5,17.3,8.9,0.2,346.2,451.4,139.6,94.9,95.6,169.6,28.4,28,43,60.3,4.9,25.7,195.7,39.9,136.5,88.4,83.4,186.9,165.5
Tajikistan,Measles,"per 1,000,000 total population",,0.8,0,73.6,6,0.4,0,0.1,2,0.1,0,0,0,0.3,0.4,,0.6,327.8,144.2,6,30.9,28.9,509.3,653.7,7.2,9.7,93.5,902,443.3,229.8,"1,305.3",,,,,,,,,,
Thailand,Measles,"per 1,000,000 total population",,77.7,86.9,28.1,9.5,2.2,,38.8,76.6,46.7,38.4,90.8,117.1,58.8,54.5,53.9,64.1,70,161,115.2,64.7,50.8,223,248.5,95.7,186.9,656.6,306,136.5,466.7,517.1,266.5,657.5,781.7,368.9,618.1,923.9,691.9,562.2,502.8,354.5
Timor-Leste,Measles,"per 1,000,000 total population",1.5,17,0,0,1.6,35.9,40,3.5,14.1,685.4,45.7,9.3,0,0,88.5,204,42.2,99.2,0,,,,,,,,,,,,,,,,,,,,,,
Togo,Measles,"per 1,000,000 total population",11,8.5,4.8,6,2,2.7,80.8,81.1,35.1,28.4,18.7,68,30.7,1.4,4.5,6.8,11.2,55.3,69.8,362.1,726.6,531.3,814,100.3,51.3,"1,453.8","1,771.1",997,"1,763.6","2,571.6","1,205",951.2,"4,913.3","2,912.4","3,900.9","7,909.3","8,236.3","6,410","7,519.8","6,771.3","12,481.4"
Tokelau,Measles,"per 1,000,000 total population",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Measles,"per 1,000,000 total population",,"6,306.6",0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,40.6,0,61.5,371,"11,188.3",0,0,,0,104.8,189,683.7,263.6,0,0,"2,476.4","4,387.8",53.3,384.1,202.9,"2,001.9","25,126.1"
Trinidad and Tobago,Measles,"per 1,000,000 total population",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,114.7,418.5,"1,789.2",322.2,369.2,"2,247.8","3,032.6","3,078.6","2,101.8","1,146.4","3,267.7",354
Tunisia,Measles,"per 1,000,000 total population",1.7,399.2,1.1,0.4,0.6,1.4,1.4,1.5,4.4,1,0.1,0.1,0.2,0.4,0.3,1.5,0.1,2.2,9.9,23.6,4.8,10.5,12.9,39.5,57.5,74.1,66.6,160.6,"1,378.2",148.3,66.4,142.3,36.5,74.4,497.5,650.2,347.7,211,271.2,459,35.3
Turkey,Measles,"per 1,000,000 total population",,34.8,8.7,1,0.1,4.4,7.3,97.5,4.7,1.5,0.1,0.1,0,0,0.5,91.3,133.2,88.4,120.1,475.3,256.9,262.2,442.2,377.6,457.2,231.6,412.3,605.2,441.7,410.7,210.9,363.7,178.3,42.9,45.2,299.1,637.4,669.5,190.7,590.1,196
Turkmenistan,Measles,"per 1,000,000 total population",,0,0,0,0,0,0,0,0,0,0,0,0,12.1,10,0,0.2,0.2,2.4,2,25,101.2,234.5,86.6,22.4,93.4,635,619.8,177.4,355.2,761.7,,,,,,,,,,
Turks and Caicos Islands,Measles,"per 1,000,000 total population",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,Measles,"per 1,000,000 total population",,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,"1,500.9","5,473.9",107.6,0,0,109.8,0,,0,0,"33,486.6",0,0,246.6,0,"2,515.4",383.4,"66,701.6"
Uganda,Measles,"per 1,000,000 total population",6.9,20.8,61.5,24.8,3.5,12.5,8.5,220.7,58.7,98.9,40.5,51,43.3,128.1,200.8,0.8,5.3,"1,132.7","1,981.6","1,990.4","1,799.3","1,862","1,907.9",580.1,"1,245.6","2,089.8","2,516.7",,"1,967",,152,39.4,103,,,,"1,425.3","3,154",862.8,"1,452.6","1,078.2"
Ukraine,Measles,"per 1,000,000 total population",6,"1,302.1","1,202.8",107.5,2.3,2.3,,,280.4,29.2,0.9,,1,21.7,916.7,51,3.1,8.6,158.1,350.6,16.7,28.2,102.7,139.5,171.6,37.8,192.3,457,258.5,103.4,132.9,,,,,,,,,,
United Arab Emirates,Measles,"per 1,000,000 total population",5.1,19.1,17.9,12.8,23.8,37.5,37.3,,14.4,,10.2,,7.8,,,6.3,5.4,11.3,15.2,9.1,22,39.4,105.2,91,167.4,277.8,225.8,342.8,517.8,592.6,649.2,618.9,729.5,"1,899.5","1,492","1,756.7","1,351.7","1,713.5","1,451.7","2,571.6","2,742.5"
United Kingdom of Great Britain and Northern Ireland,Measles,"per 1,000,000 total population",1.4,16.2,18.1,5.5,8.4,1.4,2,29.5,32.4,17.4,7,19.3,23.3,16.6,12.6,1.3,3.2,7.7,5.3,1.2,1.8,,1.3,83.1,118.1,155.6,407.3,208.6,214.4,204.7,494.1,529.4,"1,553.5",791.6,"1,596.1","1,857.2","1,200.6","2,042.5","1,878.4","1,098.9","2,632.3"
United Republic of Tanzania,Measles,"per 1,000,000 total population",2.1,2.1,1.3,15.6,0.6,0.6,1.8,3.8,35.4,35.5,3.8,36.5,81.5,189.9,59.7,0.6,38,46,145.2,344.5,437.3,180.1,314,233.6,350.7,106.6,123.6,590.6,483.7,"1,043.4",592,288.1,615.4,"1,833.1","1,714.6","2,127.8","1,873.6","3,381.9","5,178","4,171.6","3,403.8"
United States of America,Measles,"per 1,000,000 total population",3.9,,1.1,0.4,0.3,0.6,2.1,0.6,0.2,0.7,0.2,0.2,0.5,0.1,0.2,0.2,0.1,0.2,0.1,0.4,0.3,0.4,0.4,0.5,1.8,1.2,3.7,1.2,8.7,37.9,110.2,72.9,13.7,14.9,25.9,11.7,10.9,6.3,7.3,13.5,58.9
Uruguay,Measles,"per 1,000,000 total population",0.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,1.8,0.6,0.6,1.6,0,5,59.3,651.4,35.4,6.5,24.8,390.2,65.3,53.1,117.6,6.1,45.7,"5,269.9",48.4
Uzbekistan,Measles,"per 1,000,000 total population",122.6,50.7,0.7,0,0,0.7,0.3,0,,16.4,4.1,0,0.1,31.7,30.7,27.9,2.9,3.3,1,0.9,3.2,48.9,36.4,11,9.8,12.9,74.4,107.7,94.5,185.7,193.3,,,,,,,,,,
Vanuatu,Measles,"per 1,000,000 total population",0,0,0,,,143.8,37.9,0,0,0,0,0,0,0,0,14.3,,829.3,520.8,37,48.7,66.2,,646,23.3,160.6,164.5,419.4,992.5,"3,589.5",457.1,"1,183.5","1,004.9","1,859.2","8,000.3","7,231.7","12,861.2","3,228.4","6,853.7",379.6,337.4
Venezuela (Bolivarian Republic of),Measles,"per 1,000,000 total population",0,19.2,196.2,24.7,0,0,0,0,0,0,0,0,0,1.2,2.9,0,0,0,95.3,4.7,0.9,0,0.2,1.2,4,7.8,715.5,963.2,581.2,760,503.3,530.1,659.9,"1,056.4",789.2,"1,268.7",701.1,685,886.5,"2,003.8",642.2
Viet Nam,Measles,"per 1,000,000 total population",8.7,146.8,23.6,2.4,0.5,2.8,163.9,12.4,6.4,8.4,31.9,75.6,4.1,0.2,23.4,4.9,2.6,27.9,82.8,149.3,206.6,178.8,149.6,84.4,67.8,82.4,160.9,166.2,166.9,142.2,120.2,335.6,357.9,478.2,"1,099","1,350.3","1,475.3","2,152.7","1,275.5","1,123.9","1,600.9"
Wallis and Futuna,Measles,"per 1,000,000 total population",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Measles,"per 1,000,000 total population",10,39.8,373.4,15.6,5.3,17.7,31.6,15.9,89,112.4,22,5.8,0.3,0.6,390.5,312.6,650.4,449.6,48.3,27.1,,"1,544",534,3.2,,15.1,2.4,44.1,186.8,6.1,,"2,384.5",971.4,"1,686.5","1,568.8","2,924.8","4,310.5","3,759.9","2,866.2","2,594.2","2,269"
Zambia,Measles,"per 1,000,000 total population",12.9,0.8,0.6,0.8,0.5,0.6,0.6,2.3,61.9,943.7,"1,157.9",2,10.9,42.8,37.7,3.8,3,78.3,"2,281.9","1,589.7","2,969.5","2,319.2",,743.9,"1,012.8",938,"1,607.1","1,366.5","1,302.3",342.2,839.6,734.9,"1,643.4","2,006.4","3,339.3","7,366.6","5,503.4","7,889.6","11,730.1","30,421","16,859.5"
Zimbabwe,Measles,"per 1,000,000 total population",0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,763.6,68.1,0,19.7,17.4,34.8,2.6,83.3,25.4,44.4,124.8,65.3,174.4,"1,113.1","3,241.2",747.5,"3,355.2","3,071.5","1,591.3","2,255.4","1,315.9","4,678.9","5,057.5","1,855.2","2,216.1","2,510.8","2,529.9","4,391.8",620.9,650.8,"3,192.2"